Season,Round,Age,Location,name,value
Spring/Summer,1,54,Berth G,PUFA~(g~m^-2),0.14601178193329725
Spring/Summer,1,54,Berth G,ω-3~PUFA~(g~m^-2),0.10554890218158931
Spring/Summer,1,54,Berth G,Dry~weight~(g~m^-2),110.0085333333333
Spring/Summer,1,54,Berth G,Fat~(g~m^-2),0.59404608
Spring/Summer,1,54,Berth G,Protein~(g~m^-2),22.22172373333333
Spring/Summer,1,54,Berth G,EPA~(g~m^-2),0.053885165323303626
Spring/Summer,1,54,Berth G,SFA~(g~m^-2),0.159670253036947
Spring/Summer,1,54,Berth G,MUFA~(g~m^-2),0.07638458523022688
Spring/Summer,1,54,Berth G,PUFA~(g~m^-2),0.14218120815131344
Spring/Summer,1,54,Berth G,ω-3~PUFA~(g~m^-2),0.10781759833548735
Spring/Summer,1,54,Berth G,Dry~weight~(g~m^-2),86.04480000000001
Spring/Summer,1,54,Berth G,Fat~(g~m^-2),0.6625449600000002
Spring/Summer,1,54,Berth G,Protein~(g~m^-2),11.443958400000001
Spring/Summer,1,54,Berth G,EPA~(g~m^-2),0.05654207640884781
Spring/Summer,1,54,Berth G,SFA~(g~m^-2),0.20090932196863492
Spring/Summer,1,54,Berth G,MUFA~(g~m^-2),0.08111410026876764
Spring/Summer,1,54,Berth G,PUFA~(g~m^-2),0.1724269115159537
Spring/Summer,1,54,Berth G,ω-3~PUFA~(g~m^-2),0.11218582076260179
Spring/Summer,2,13,Berth C,Dry~weight~(g~m^-2),2.707733333333332
Spring/Summer,2,13,Berth C,Fat~(g~m^-2),0.02166186666666666
Spring/Summer,2,13,Berth C,Protein~(g~m^-2),0.1489253333333333
Spring/Summer,2,13,Berth C,EPA~(g~m^-2),8.700677359228474e-4
Spring/Summer,2,13,Berth C,SFA~(g~m^-2),0.008470979476944841
Spring/Summer,2,13,Berth C,MUFA~(g~m^-2),0.003668205574650724
Spring/Summer,2,13,Berth C,PUFA~(g~m^-2),0.0032731948225417514
Spring/Summer,2,13,Berth C,ω-3~PUFA~(g~m^-2),0.002249995165096483
Spring/Summer,2,13,Berth C,Dry~weight~(g~m^-2),2.4613333333333336
Spring/Summer,2,13,Berth C,Fat~(g~m^-2),0.019936800000000005
Spring/Summer,2,13,Berth C,Protein~(g~m^-2),0.1082986666666667
Spring/Summer,2,13,Berth C,EPA~(g~m^-2),5.253418931692359e-4
Spring/Summer,2,13,Berth C,SFA~(g~m^-2),0.008617198993106282
Spring/Summer,2,13,Berth C,MUFA~(g~m^-2),0.003889121954583162
Spring/Summer,2,13,Berth C,PUFA~(g~m^-2),0.0019612764011651476
Spring/Summer,2,13,Berth C,ω-3~PUFA~(g~m^-2),0.0012528608179520867
Spring/Summer,2,13,Berth C,Dry~weight~(g~m^-2),3.8399999999999985
Spring/Summer,2,13,Berth C,Fat~(g~m^-2),0.026495999999999992
Spring/Summer,2,13,Berth C,Protein~(g~m^-2),0.16895999999999994
Spring/Summer,2,13,Berth C,EPA~(g~m^-2),9.175823818551236e-4
Spring/Summer,2,13,Berth C,SFA~(g~m^-2),0.010827472105890454
Spring/Summer,2,13,Berth C,MUFA~(g~m^-2),0.005044569187687237
Spring/Summer,2,13,Berth C,PUFA~(g~m^-2),0.0032008687739132216
Spring/Summer,2,13,Berth C,ω-3~PUFA~(g~m^-2),0.002144582078521859
Spring/Summer,2,13,Berth G,Dry~weight~(g~m^-2),4.056533333333334
Spring/Summer,2,13,Berth G,Fat~(g~m^-2),0.040970986666666674
Spring/Summer,2,13,Berth G,Protein~(g~m^-2),0.21093973333333338
Spring/Summer,2,13,Berth G,EPA~(g~m^-2),0.001508565525203662
Spring/Summer,2,13,Berth G,SFA~(g~m^-2),0.017030392983440477
Spring/Summer,2,13,Berth G,MUFA~(g~m^-2),0.006978755299203028
Spring/Summer,2,13,Berth G,PUFA~(g~m^-2),0.005768623388767917
Spring/Summer,2,13,Berth G,ω-3~PUFA~(g~m^-2),0.003971462719612249
Spring/Summer,2,13,Berth G,Dry~weight~(g~m^-2),5.289066666666665
Spring/Summer,2,13,Berth G,Fat~(g~m^-2),0.050246133333333325
Spring/Summer,2,13,Berth G,Protein~(g~m^-2),0.24329706666666662
Spring/Summer,2,13,Berth G,EPA~(g~m^-2),0.0012817954190694832
Spring/Summer,2,13,Berth G,SFA~(g~m^-2),0.02235130762002411
Spring/Summer,2,13,Berth G,MUFA~(g~m^-2),0.008876433277056173
Spring/Summer,2,13,Berth G,PUFA~(g~m^-2),0.005391551981461015
Spring/Summer,2,13,Berth G,ω-3~PUFA~(g~m^-2),0.003641100112294251
Spring/Summer,2,13,Berth G,Dry~weight~(g~m^-2),5.088000000000004
Spring/Summer,2,13,Berth G,Fat~(g~m^-2),0.04528320000000004
Spring/Summer,2,13,Berth G,Protein~(g~m^-2),0.21369600000000014
Spring/Summer,2,13,Berth G,EPA~(g~m^-2),0.0015253087473389327
Spring/Summer,2,13,Berth G,SFA~(g~m^-2),0.018939250279458412
Spring/Summer,2,13,Berth G,MUFA~(g~m^-2),0.008752366859730545
Spring/Summer,2,13,Berth G,PUFA~(g~m^-2),0.005963230864596494
Spring/Summer,2,13,Berth G,ω-3~PUFA~(g~m^-2),0.003973066118068554
Spring/Summer,2,32,Berth C,Dry~weight~(g~m^-2),19.030399999999997
Spring/Summer,2,32,Berth C,Fat~(g~m^-2),0.11418239999999998
Spring/Summer,2,32,Berth C,Protein~(g~m^-2),1.3892191999999999
Spring/Summer,2,32,Berth C,EPA~(g~m^-2),0.006262803104442228
Spring/Summer,2,32,Berth C,SFA~(g~m^-2),0.03847939907405827
Spring/Summer,2,32,Berth C,MUFA~(g~m^-2),0.016670108263294754
Spring/Summer,2,32,Berth C,PUFA~(g~m^-2),0.02316316148187088
Spring/Summer,2,32,Berth C,ω-3~PUFA~(g~m^-2),0.016292498076115148
Spring/Summer,2,32,Berth C,Dry~weight~(g~m^-2),15.691733333333332
Spring/Summer,2,32,Berth C,Fat~(g~m^-2),0.11141130666666665
Spring/Summer,2,32,Berth C,Protein~(g~m^-2),0.7532031999999999
Spring/Summer,2,32,Berth C,EPA~(g~m^-2),0.005272392111534328
Spring/Summer,2,32,Berth C,SFA~(g~m^-2),0.04217913689227462
Spring/Summer,2,32,Berth C,MUFA~(g~m^-2),0.01751506531967336
Spring/Summer,2,32,Berth C,PUFA~(g~m^-2),0.019543595843941653
Spring/Summer,2,32,Berth C,ω-3~PUFA~(g~m^-2),0.012099693083080476
Spring/Summer,2,32,Berth C,Dry~weight~(g~m^-2),17.35626666666667
Spring/Summer,2,32,Berth C,Fat~(g~m^-2),0.11281573333333336
Spring/Summer,2,32,Berth C,Protein~(g~m^-2),0.9893072000000003
Spring/Summer,2,32,Berth C,EPA~(g~m^-2),0.005753911226724873
Spring/Summer,2,32,Berth C,SFA~(g~m^-2),0.03647440288566064
