Season,Round,Age,Location,Replicate,% moisture,Wet weight g,Protein g/100g dry weight,Protein g/100g wet weight,fat g/100g dry weight,fat g/100g wet weight,fat mg/g dry weight,fat mg/g wet weight,total fat (g/cm2),protein g/cm2,No. of days,average dry weight accumulation (g/m2/day),average daily fat accumulation (g/m2/day),average daily protein accumulation (g/m2/day),dry weight,name,value
Spring/Summer,1,13,Berth G,B,91.5,11.2767,6.5,0.6,0.85,0.07,8.5,0.72,4.3678666666666614e-4,0.0033401333333333296,13,0.07411538461538453,0.3359897435897432,2.5693333333333306,0.9635,EPA~(g/m^2),0.24342401042444
Spring/Summer,1,13,Berth G,B,91.5,11.2767,6.5,0.6,0.85,0.07,8.5,0.72,4.3678666666666614e-4,0.0033401333333333296,13,0.07411538461538453,0.3359897435897432,2.5693333333333306,0.9635,SFA~(g/m^2),1.5826038163451805
Spring/Summer,1,13,Berth G,B,91.5,11.2767,6.5,0.6,0.85,0.07,8.5,0.72,4.3678666666666614e-4,0.0033401333333333296,13,0.07411538461538453,0.3359897435897432,2.5693333333333306,0.9635,MUFA~(g/m^2),0.6711547715988131
Spring/Summer,1,13,Berth G,B,91.5,11.2767,6.5,0.6,0.85,0.07,8.5,0.72,4.3678666666666614e-4,0.0033401333333333296,13,0.07411538461538453,0.3359897435897432,2.5693333333333306,0.9635,PUFA~(g/m^2),0.9152742791958943
Spring/Summer,1,13,Berth G,B,91.5,11.2767,6.5,0.6,0.85,0.07,8.5,0.72,4.3678666666666614e-4,0.0033401333333333296,13,0.07411538461538453,0.3359897435897432,2.5693333333333306,0.9635,ω3~PUFA~(g/m^2),0.6235132152728868
Spring/Summer,1,13,Berth G,C,95.2,15.2101,5.2,0.2,0.82,0.04,8.2,0.39,3.1868479999999996e-4,0.0020209279999999995,13,0.05605384615384615,0.24514215384615382,1.5545599999999997,0.7287,Fat~(g/m^2),3.1868479999999995
Spring/Summer,1,13,Berth G,C,95.2,15.2101,5.2,0.2,0.82,0.04,8.2,0.39,3.1868479999999996e-4,0.0020209279999999995,13,0.05605384615384615,0.24514215384615382,1.5545599999999997,0.7287,Dry~weight~(g),0.7286999999999999
Spring/Summer,1,13,Berth G,C,95.2,15.2101,5.2,0.2,0.82,0.04,8.2,0.39,3.1868479999999996e-4,0.0020209279999999995,13,0.05605384615384615,0.24514215384615382,1.5545599999999997,0.7287,Protein~(g/m^2),20.209279999999996
Spring/Summer,1,13,Berth G,C,95.2,15.2101,5.2,0.2,0.82,0.04,8.2,0.39,3.1868479999999996e-4,0.0020209279999999995,13,0.05605384615384615,0.24514215384615382,1.5545599999999997,0.7287,EPA~(g/m^2),0.1808674803978826
Spring/Summer,1,13,Berth G,C,95.2,15.2101,5.2,0.2,0.82,0.04,8.2,0.39,3.1868479999999996e-4,0.0020209279999999995,13,0.05605384615384615,0.24514215384615382,1.5545599999999997,0.7287,SFA~(g/m^2),1.2171617201987084
Spring/Summer,1,13,Berth G,C,95.2,15.2101,5.2,0.2,0.82,0.04,8.2,0.39,3.1868479999999996e-4,0.0020209279999999995,13,0.05605384615384615,0.24514215384615382,1.5545599999999997,0.7287,MUFA~(g/m^2),0.4712744207550463
Spring/Summer,1,13,Berth G,C,95.2,15.2101,5.2,0.2,0.82,0.04,8.2,0.39,3.1868479999999996e-4,0.0020209279999999995,13,0.05605384615384615,0.24514215384615382,1.5545599999999997,0.7287,PUFA~(g/m^2),0.6129114899116979
