"name","contrast","estimate","SE","df","t.ratio","p.value"
"∑Mono-unsaturated fatty acids MUFA","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",-0.47,0.03,63,-13.63,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",-0.5,0.03,63,-14.56,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",-0.4,0.03,63,-11.59,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",-0.68,0.03,63,-19.63,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",-0.71,0.03,63,-20.56,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.28,0.03,63,-8.03,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.31,0.03,63,-8.96,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.03,0.03,63,-0.93,"0.937"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.22,0.1,63,-2.22,"0.244"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-0.54,0.1,63,-5.4,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.27,0.1,63,2.68,"0.093"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.34,0.1,63,3.43,"0.013"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.36,0.1,63,3.62,"0.007"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.32,0.1,63,-3.18,"0.026"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.49,0.1,63,4.9,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.56,0.1,63,5.65,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.58,0.1,63,5.84,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.8,0.1,63,8.08,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",0.88,0.1,63,8.83,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.9,0.1,63,9.03,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.07,0.1,63,0.75,"0.974"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.09,0.1,63,0.94,"0.933"
"∑ poly-unsaturated fatty acids 3 PUFA","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",0.02,0.1,63,0.19,">0.999"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.22,0.11,63,-1.98,"0.364"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-0.62,0.11,63,-5.54,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.42,0.11,63,3.71,"0.006"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.39,0.11,63,3.48,"0.011"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.32,0.11,63,2.88,"0.058"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.4,0.11,63,-3.56,"0.009"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.64,0.11,63,5.69,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.62,0.11,63,5.46,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.55,0.11,63,4.86,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",1.04,0.11,63,9.24,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",1.02,0.11,63,9.02,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.95,0.11,63,8.42,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.03,0.11,63,-0.22,">0.999"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.09,0.11,63,-0.82,"0.962"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.07,0.11,63,-0.6,"0.991"
"Fat Content g/100g","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.02,0.04,63,0.58,"0.992"
"Fat Content g/100g","(Age13 Spring/Summer) - (Age54 Spring/Summer)",0.07,0.04,63,1.89,"0.416"
"Fat Content g/100g","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.44,0.04,63,12.12,"<0.001"
"Fat Content g/100g","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",-0.34,0.04,63,-9.42,"<0.001"
"Fat Content g/100g","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",-0.36,0.04,63,-9.8,"<0.001"
"Fat Content g/100g","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0.05,0.04,63,1.31,"0.777"
"Fat Content g/100g","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.42,0.04,63,11.53,"<0.001"
"Fat Content g/100g","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",-0.36,0.04,63,-10,"<0.001"
"Fat Content g/100g","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",-0.38,0.04,63,-10.38,"<0.001"
"Fat Content g/100g","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.37,0.04,63,10.22,"<0.001"
"Fat Content g/100g","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",-0.41,0.04,63,-11.31,"<0.001"
"Fat Content g/100g","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",-0.42,0.04,63,-11.69,"<0.001"
"Fat Content g/100g","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.78,0.04,63,-21.53,"<0.001"
"Fat Content g/100g","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.8,0.04,63,-21.92,"<0.001"
"Fat Content g/100g","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.01,0.04,63,-0.38,"0.999"
