name,effect,group,term,estimate,std.error,statistic,df,p.value
SFA~(g~m^-2),ran_pars,Round:Location,sd__(Intercept),0.1238408055444551,NA,NA,NA,NA
SFA~(g~m^-2),ran_pars,Location,sd__(Intercept),0.14938249975023146,NA,NA,NA,NA
SFA~(g~m^-2),ran_pars,Residual,sd__Observation,0.3748925105711773,NA,NA,NA,NA
MUFA~(g~m^-2),fixed,NA,(Intercept),-8.527643319266474,0.14778332511911738,-57.703690943433315,3.5675619309808146,<0.001
MUFA~(g~m^-2),fixed,NA,SeasonSpring/Summer,3.3884431483693978,0.1576134809013481,21.498434835597973,63.000000826012496,<0.001
MUFA~(g~m^-2),fixed,NA,Age32,4.674927422778419,0.15761348090134825,29.660707929574244,63.00000082529986,<0.001
MUFA~(g~m^-2),fixed,NA,Age54,5.0932621494847226,0.15761348090134816,32.31488905871348,63.000000828299925,<0.001
MUFA~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age32,-3.359068808798729,0.22289912230351938,-15.069905947071073,63.00000082895111,<0.001
MUFA~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age54,-2.654125175406911,0.22289912230351933,-11.907293074904159,63.00000083298358,<0.001
MUFA~(g~m^-2),ran_pars,Round:Location,sd__(Intercept),0.13503573399257301,NA,NA,NA,NA
MUFA~(g~m^-2),ran_pars,Location,sd__(Intercept),0.09859253662032219,NA,NA,NA,NA
MUFA~(g~m^-2),ran_pars,Residual,sd__Observation,0.38607260479220473,NA,NA,NA,NA
PUFA~(g~m^-2),fixed,NA,(Intercept),-9.054108867588356,0.16489349161048628,-54.90883102273133,18.47988075984449,<0.001
PUFA~(g~m^-2),fixed,NA,SeasonSpring/Summer,3.769229328555057,0.20122773021802956,18.731162571237622,62.99999697389249,<0.001
PUFA~(g~m^-2),fixed,NA,Age32,4.303282943667844,0.2012277302180296,21.385138812653956,62.999996973745155,<0.001
PUFA~(g~m^-2),fixed,NA,Age54,4.670599807051035,0.20122773021802953,23.210517765073714,62.999996972033465,<0.001
PUFA~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age32,-2.6518155681833515,0.2845789851998916,-9.31838156046795,62.99999697497643,<0.001
PUFA~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age54,-1.349623243497373,0.28457898519989167,-4.742526025066051,62.999996973592985,<0.001
PUFA~(g~m^-2),ran_pars,Round:Location,sd__(Intercept),0.16665609945210452,NA,NA,NA,NA
PUFA~(g~m^-2),ran_pars,Location,sd__(Intercept),0,NA,NA,NA,NA
PUFA~(g~m^-2),ran_pars,Residual,sd__Observation,0.49290526113260386,NA,NA,NA,NA
ω3~PUFA~(g~m^-2),fixed,NA,(Intercept),-9.656045429427028,0.1610791499049964,-59.94596715417303,29.63114460145582,<0.001
ω3~PUFA~(g~m^-2),fixed,NA,SeasonSpring/Summer,3.951360609170629,0.2122986132889132,18.612277056154372,62.99999988572747,<0.001
ω3~PUFA~(g~m^-2),fixed,NA,Age32,4.409780614949618,0.21229861328891314,20.77159406099573,62.999999885034256,<0.001
ω3~PUFA~(g~m^-2),fixed,NA,Age54,4.877104750449322,0.2122986132889132,22.972852600841826,62.999999882973505,<0.001
ω3~PUFA~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age32,-2.747803167159981,0.30023557818618196,-9.152157061998876,62.999999885632214,<0.001
ω3~PUFA~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age54,-1.451289242773946,0.30023557818618196,-4.833834988983129,62.99999988738961,<0.001
ω3~PUFA~(g~m^-2),ran_pars,Round:Location,sd__(Intercept),0.11680996416262672,NA,NA,NA,NA
ω3~PUFA~(g~m^-2),ran_pars,Location,sd__(Intercept),0,NA,NA,NA,NA
ω3~PUFA~(g~m^-2),ran_pars,Residual,sd__Observation,0.5200232756582852,NA,NA,NA,NA
