"Units","FAME","Season","Age","n","min","max","median","iqr","mean","sd","se","ci"
"% FA","C22:0 behenic acid","Spring/Summer","32",12,0.31,0.57,0.43,0.052,0.423,0.065,0.019,0.042
"% FA","C22:0 behenic acid","Autumn/Winter","32",12,0,0.16,0.115,0.02,0.112,0.039,0.011,0.025
"% FA","C22:0 behenic acid","Spring/Summer","54",12,0.44,0.68,0.585,0.11,0.572,0.081,0.024,0.052
"% FA","C22:0 behenic acid","Autumn/Winter","54",12,0,0.17,0.12,0.023,0.109,0.054,0.016,0.034
"% FA","C22:5n3 docosapentaenoic acid (DPA)","Spring/Summer","13",12,0.14,0.24,0.18,0.02,0.185,0.029,0.008,0.018
"% FA","C22:5n3 docosapentaenoic acid (DPA)","Autumn/Winter","13",12,0,5.6,0.27,3.3,1.703,2.142,0.618,1.361
"% FA","C22:5n3 docosapentaenoic acid (DPA)","Spring/Summer","32",12,0.14,0.32,0.24,0.055,0.229,0.05,0.014,0.032
"% FA","C22:5n3 docosapentaenoic acid (DPA)","Autumn/Winter","32",12,0,0.16,0.13,0.07,0.104,0.065,0.019,0.041
"% FA","C22:5n3 docosapentaenoic acid (DPA)","Spring/Summer","54",12,0.17,1.1,0.645,0.27,0.672,0.272,0.078,0.173
"% FA","C22:5n3 docosapentaenoic acid (DPA)","Autumn/Winter","54",12,0,0.16,0.06,0.132,0.068,0.071,0.021,0.045
"% FA","C22:6n3 docosahexaenoic acid (DHA)","Spring/Summer","13",12,0.22,1.4,0.715,0.682,0.794,0.376,0.108,0.239
"% FA","C22:6n3 docosahexaenoic acid (DHA)","Autumn/Winter","13",12,0,0.92,0,0.415,0.221,0.303,0.088,0.193
"% FA","C22:6n3 docosahexaenoic acid (DHA)","Spring/Summer","32",12,0.67,3.5,2.1,1.3,2.006,0.836,0.241,0.531
"% FA","C22:6n3 docosahexaenoic acid (DHA)","Autumn/Winter","32",12,0.1,0.76,0.44,0.285,0.432,0.193,0.056,0.123
"% FA","C22:6n3 docosahexaenoic acid (DHA)","Spring/Summer","54",12,2,8.8,5.55,3.4,5.508,2.273,0.656,1.444
"% FA","C22:6n3 docosahexaenoic acid (DHA)","Autumn/Winter","54",12,0,1.3,0.255,0.3,0.386,0.336,0.097,0.214
"% FA","C24:0 lignoceric acid","Spring/Summer","13",12,0.48,0.94,0.77,0.22,0.77,0.145,0.042,0.092
"% FA","C24:0 lignoceric acid","Autumn/Winter","13",12,0.92,1.9,1.15,0.462,1.255,0.329,0.095,0.209
"% FA","C24:0 lignoceric acid","Spring/Summer","32",12,0.35,0.68,0.45,0.072,0.46,0.089,0.026,0.056
"% FA","C24:0 lignoceric acid","Autumn/Winter","32",12,0.36,0.51,0.43,0.07,0.429,0.048,0.014,0.031
"% FA","C24:0 lignoceric acid","Spring/Summer","54",12,0.23,0.57,0.36,0.175,0.378,0.119,0.034,0.076
"% FA","C24:0 lignoceric acid","Autumn/Winter","54",12,0.21,0.53,0.415,0.167,0.419,0.105,0.03,0.067
"% FA","Fat Content g/100g","Spring/Summer","13",12,0.625,1.011,0.825,0.099,0.822,0.107,0.031,0.068
"% FA","Fat Content g/100g","Autumn/Winter","13",12,0.067,0.389,0.165,0.14,0.176,0.1,0.029,0.063
"% FA","Fat Content g/100g","Spring/Summer","32",12,0.507,1.193,0.77,0.273,0.793,0.216,0.062,0.137
"% FA","Fat Content g/100g","Autumn/Winter","32",12,1.026,1.913,1.579,0.38,1.576,0.274,0.079,0.174
"% FA","Fat Content g/100g","Spring/Summer","54",12,0.537,0.881,0.681,0.16,0.702,0.106,0.031,0.067
"% FA","Fat Content g/100g","Autumn/Winter","54",12,1.173,2.12,1.581,0.296,1.61,0.27,0.078,0.171
"% FA","∑ poly-unsaturated fatty acids 3 PUFA","Spring/Summer","13",12,12.32,36.49,16.88,5.18,19.035,6.847,1.977,4.35
"% FA","∑ poly-unsaturated fatty acids 3 PUFA","Autumn/Winter","13",12,8.64,17.08,14.65,3.987,13.948,2.725,0.787,1.732
"% FA","∑ poly-unsaturated fatty acids 3 PUFA","Spring/Summer","32",12,18.59,32.37,22.825,4.91,23.177,3.989,1.152,2.535
"% FA","∑ poly-unsaturated fatty acids 3 PUFA","Autumn/Winter","32",12,4.73,18.98,13.805,4.278,13.331,4.102,1.184,2.606
"% FA","∑ poly-unsaturated fatty acids 3 PUFA","Spring/Summer","54",12,26.5,36.71,32.35,4.347,31.906,3.192,0.921,2.028
"% FA","∑ poly-unsaturated fatty acids 3 PUFA","Autumn/Winter","54",12,6.28,16.65,13.5,4.592,12.828,3.37,0.973,2.141
"% FA","∑Mono-unsaturated fatty acids MUFA","Spring/Summer","13",12,15.53,24.43,21.325,2.323,21.128,2.512,0.725,1.596
"% FA","∑Mono-unsaturated fatty acids MUFA","Autumn/Winter","13",12,20.1,27.4,23.16,2.072,23.262,2.326,0.671,1.478
"% FA","∑Mono-unsaturated fatty acids MUFA","Spring/Summer","32",12,17.44,21.2,18.93,1.512,18.959,1.19,0.344,0.756
"% FA","∑Mono-unsaturated fatty acids MUFA","Autumn/Winter","32",12,27.21,33.58,31.155,3.262,30.913,2.007,0.579,1.275
"% FA","∑Mono-unsaturated fatty acids MUFA","Spring/Summer","54",12,13.27,16.56,15.575,1.808,15.248,1.097,0.317,0.697
"% FA","∑Mono-unsaturated fatty acids MUFA","Autumn/Winter","54",12,28.24,36.6,31.965,4.445,32.001,2.823,0.815,1.794
"% FA","∑Saturated fatty acids SFA","Spring/Summer","13",12,38.44,55.8,51.895,4.85,50.379,4.779,1.38,3.036
"% FA","∑Saturated fatty acids SFA","Autumn/Winter","13",12,44.08,56.26,47.64,2.757,48.519,3.92,1.132,2.491
"% FA","∑Saturated fatty acids SFA","Spring/Summer","32",12,40.57,47.2,42.47,3.285,43.323,2.266,0.654,1.44
"% FA","∑Saturated fatty acids SFA","Autumn/Winter","32",12,43.26,52.85,45.16,3.21,46.279,2.862,0.826,1.818
"% FA","∑Saturated fatty acids SFA","Spring/Summer","54",12,32.26,39.11,36.815,4.087,36.03,2.302,0.664,1.462
"% FA","∑Saturated fatty acids SFA","Autumn/Winter","54",12,41.82,53.81,47.43,5.03,47.432,3.463,1,2.2
"% FA","∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Spring/Summer","13",12,7.87,25.59,11.08,4.637,12.652,5.073,1.465,3.223
"% FA","∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Autumn/Winter","13",12,3.46,10.5,7.52,2.818,7.839,2.224,0.642,1.413
"% FA","∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Spring/Summer","32",12,12.84,19.09,15.095,3.108,15.344,2.259,0.652,1.435
"% FA","∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Autumn/Winter","32",12,2.33,12.14,8.815,2.86,8.273,2.804,0.809,1.782
"% FA","∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Spring/Summer","54",12,19.79,27.32,22.61,4.658,23.323,2.733,0.789,1.737
"% FA","∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Autumn/Winter","54",12,3.67,11.87,9.135,3.438,8.766,2.626,0.758,1.668
"mg/100g","C12:0 lauric acid","Spring/Summer","13",12,2.201,7.717,4.792,1.385,4.975,1.352,0.39,0.859
"mg/100g","C12:0 lauric acid","Autumn/Winter","13",12,0,4.53,2.094,3.075,2.325,1.698,0.49,1.079
"mg/100g","C12:0 lauric acid","Spring/Summer","32",12,2.137,4.869,2.589,0.862,2.963,0.854,0.246,0.542
"mg/100g","C12:0 lauric acid","Autumn/Winter","32",12,3.529,20.736,8.443,5.302,9.272,4.781,1.38,3.038
"mg/100g","C12:0 lauric acid","Spring/Summer","54",12,1.452,8.831,2.883,3.428,3.987,2.708,0.782,1.72
"mg/100g","C12:0 lauric acid","Autumn/Winter","54",12,3,8.221,5.791,2.503,5.763,1.788,0.516,1.136
"mg/100g","C14:0 myristic acid","Spring/Summer","13",12,70.021,124.961,92.803,23.92,91.204,17.744,5.122,11.274
"mg/100g","C14:0 myristic acid","Autumn/Winter","13",12,6.62,49.759,17.661,13.978,19.639,12.69,3.663,8.063
"mg/100g","C14:0 myristic acid","Spring/Summer","32",12,34.853,86.886,55.817,25.119,54.844,16.544,4.776,10.511
"mg/100g","C14:0 myristic acid","Autumn/Winter","32",12,152.661,287.745,193.894,50.736,201.384,41.553,11.995,26.402
"mg/100g","C14:0 myristic acid","Spring/Summer","54",12,28.038,56.399,37.041,6.526,37.127,7.642,2.206,4.855
"mg/100g","C14:0 myristic acid","Autumn/Winter","54",12,82.552,235.698,148.182,23.647,149.743,36.221,10.456,23.014
